Register Name,Size (bytes),Address,Description,Notes
ZERO,2,0x00,The zero register (currently still 0),
ONE,2,0x01,The one register(currently still 0),
CHAR,2,0x02,The char register,
FLAGS,2,0x03,The register that contains each and every flag.,"X, X, X, X, X, RNDM, READ, PRNT"
RANDOM,2,0x04,The random register.,
USER,2,0x05,The user input register,
IP,2,0x06,The instruction pointer,
INSTRUCTION,4,0x07,The instruction contaner,
R0,2,0x08,,
R1,2,0x09,,
R2,2,0x0A,,
R3,2,0x0B,,
R4,2,0x0C,,
R5,2,0x0D,,
R6,2,0x0E,,
R7,2,0x0F,,
R8,2,0x10,,
R9,2,0x11,,
R10,2,0x12,,
R11,2,0x13,,
R12,2,0x14,,
(Free),2,0x15,,
(Free),2,0x16,,
(Free),2,0x17,,
(Free),2,0x18,,
(Free),2,0x19,,
(Free),2,0x1A,,
(Free),2,0x1B,,
